Director,Avg,Gross
Michael J. Bassett,17529157,17529157
Patricia Rozema,17655201,17655201
Gonzalo López-Gallego,17683670,17683670
Jeff Schaffer,17718223,17718223
Stephen Chbosky,17738570,17738570
Katt Shea,17757087,17757087
Nanette Burstein,17797316,17797316
Stephen Chow,5933406.333,17800219
Daniel Sackheim,17951431,17951431
Frank Nissen,18081626,18081626
Michael Polish,4525680,18102720
Bradley Parker,18112929,18112929
Bart Freundlich,9116699.5,18233399
Leon Ichaso,18272447,18272447
Dustin Hoffman,18381787,18381787
Ricky Gervais,18439082,18439082
John Sayles,4628904,18515616
Yimou Zhang,2318076.25,18544610
Asger Leth,18600911,18600911
Don Kempf,18642318,18642318
Julian Jarrold,18663911,18663911
Richard Eyre,9400394.5,18800789
Doug Atchison,18811135,18811135
John Bonito,18843314,18843314
Andrew Dominik,9421776,18843552
Noah Baumbach,6333134.667,18999404
Allen Coulter,19057024,19057024
Stuart Beattie,19059018,19059018
Adrienne Shelly,19067631,19067631
Stephan Elliott,9557664,19115328
John Carl Buechler,19170001,19170001
George Jackson,19281235,19281235
Susan Stroman,19377727,19377727
Maurice Joyce,19421271,19421271
Gary Chapman,19447478,19447478
Tom McLoughlin,19472057,19472057
Kurt Wimmer,9845492,19690984
Allen Hughes,19692608,19692608
Edward Burns,6566801,19700403
Mikael Salomon,19819494,19819494
DJ Pooh,9959215.5,19918431
Jean-François Richet,19976073,19976073
Kris Isacsson,20035310,20035310
Alan Shapiro,20047715,20047715
Juan José Campanella,20167424,20167424
Jim Sonzero,20259297,20259297
Robert Ben Garant,20339754,20339754
Richard Glatzer,10173199.5,20346399
King Vidor,20400000,20400000
John Gray,20400913,20400913
Nick Hurran,20422207,20422207
Peter Atencio,20566327,20566327
Oliver Hirschbiegel,10286727,20573454
Robert Duvall,20733485,20733485
Joseph Sargent,20763013,20763013
Harold Cronk,20773070,20773070
Martin Weisz,20801344,20801344
Lisa Cholodenko,20803237,20803237
Todd Haynes,6966532,20899596
Annabel Jankel,20915465,20915465
Chris Carter,20981633,20981633
Don Michael Paul,10527922.5,21055845
Ernest R. Dickerson,21088568,21088568
Chris Robinson,21160089,21160089
Joseph Kahn,21176322,21176322
Danny Steinmann,21300000,21300000
Rand Ravich,10654581,21309162
Chris Gorak,21426805,21426805
John Ottman,21468807,21468807
Roger Christian,21471685,21471685
Brian Percival,21483154,21483154
George A. Romero,7162538.333,21487615
Nat Faxon,21501098,21501098
David E. Talbert,21564616,21564616
Justin Zackham,21784432,21784432
Michael Mayer,11013863,22027726
Gordon Chan,22108977,22108977
Jaume Balagueró,11093554.5,22187109
Jeremy Leven,22200000,22200000
Mike Bigelow,22264487,22264487
Mark Brown,11164131.5,22328263
Dean Israelite,22331028,22331028
Philip G. Atwell,22466994,22466994
Kasi Lemmons,7508596.667,22525790
Don Scardino,22525921,22525921
Martin McDonagh,11373445.5,22746891
Travis Cluff,22757819,22757819
Peter R. Hunt,22800000,22800000
Brandon Camp,22927390,22927390
Nigel Cole,11465291,22930582
Sergey Bodrov,7651924.667,22955774
Wally Pfister,23014504,23014504
Paul Hunter,23020488,23020488
Ice Cube,23031390,23031390
Alister Grierson,23070045,23070045
Glen Morgan,11543718.5,23087437
Kevin Allen,11704219,23408438
Terry George,23472900,23472900
Christian Alvart,11787269.5,23574539
Ron Maxwell,11820264.5,23640529
William Wyler,23650000,23650000
Rob Pritts,23978402,23978402
Jody Hill,23993605,23993605
Troy Nixey,24042490,24042490
Tomas Alfredson,24104113,24104113
John Herzfeld,24375436,24375436
Andy Cadiff,12189514,24379028
Tim Fywell,24381334,24381334
Joseph Gordon-Levitt,24475193,24475193
Erik White,24708699,24708699
Jesse Peretz,12425044.5,24850089
Michael Anderson,25000000,25000000
Billy Wilder,25000000,25000000
Anthony Bell,25077977,25077977
Gary McKendry,25093607,25093607
Robert Eggers,25138292,25138292
Pat O'Connor,25178165,25178165
Dan Cutforth,25240988,25240988
Alex Garland,25440971,25440971
Olatunde Osunsanmi,25464480,25464480
Richard Benjamin,8523554.667,25570664
John Carney,12803337,25606674
Damien Dante Wayans,25615792,25615792
David Gelb,25799043,25799043
Craig Mazin,12942415,25884830
Masayuki Ochiai,25926543,25926543
Scott Frank,25977365,25977365
Des McAnuff,26000610,26000610
Tom Gormican,26049082,26049082
Troy Miller,26096584,26096584
J.A. Bayona,13077951,26155902
Patrick Gilmore,26288320,26288320
Lone Scherfig,13170364.5,26340729
Joe Berlinger,26421314,26421314
Bronwen Hughes,26539321,26539321
Jason Zada,26583369,26583369
Ethan Maniquis,26589953,26589953
Stephen J. Anderson,26687172,26687172
Courtney Solomon,13396270,26792540
Jessica Bendinger,26870825,26870825
Eric Valette,26876529,26876529
Diane English,26896744,26896744
Rick Friedberg,26906039,26906039
Kirk Wong,27052167,27052167
Jeff Nichols,6768182.75,27072731
Brian Henson,27281507,27281507
Gary Hardwick,27457409,27457409
Mike Flanagan,27689474,27689474
Ciarán Foy,27736779,27736779
Gene Quintano,27979400,27979400
Vic Armstrong,13998282,27996564
Martha Coolidge,28165882,28165882
John Stainton,28399192,28399192
Bill Paxton,14217558.5,28435117
Greg Coolidge,28435406,28435406
John Lafia,28501605,28501605
Philip Kaufman,14280438,28560876
Juan Carlos Fresnadillo,28637507,28637507
Ed Harris,14401958.5,28803917
Joe Charbanic,28927720,28927720
Ed Decter,28972187,28972187
Mark Rydell,29200000,29200000
Thomas Bezucha,14620531,29241062
Bob Spiers,29247405,29247405
Sara Sugarman,29302097,29302097
Craig R. Baxley,14771657,29543314
Kinka Usher,29655590,29655590
John McNaughton,29753944,29753944
Joe Nussbaum,9959544.667,29878634
Michael Spierig,29975979,29975979
Jack Sholder,30000000,30000000
Jacques Perrin,15084292,30168584
Rick Rosenthal,30259652,30259652
Bob Dolman,30306281,30306281
John Fortenberry,30324946,30324946
Zach Braff,15185077.5,30370155
Derek Cianfrance,15542428.5,31084857
Christopher Erskin,31179516,31179516
David Moreau,31397498,31397498
Levan Gabriadze,31537320,31537320
Dexter Fletcher,15785632,31571264
Jim Field Smith,31584722,31584722
Craig Brewer,15799061.5,31598123
Mark Tonderai,31607598,31607598
Kirsten Sheridan,31655091,31655091
Shane Acker,31743332,31743332
Walter Salles,10595382.67,31786148
Davis Guggenheim,10623990,31871970
Adam Brooks,31973840,31973840
Alfred Hitchcock,32000000,32000000
Tim Blake Nelson,16017403,32034806
Patrick Read Johnson,16020539,32041078
Tony Goldwyn,16040010,32080020
Susanna White,16051833,32103666
Hironobu Sakaguchi,32131830,32131830
Hayao Miyazaki,8035078.75,32140315
Marco Schnabel,32178777,32178777
Dan Gilroy,32279955,32279955
Stanley Tong,32333860,32333860
Mike Figgis,16184070,32368140
Grant Heslov,32416109,32416109
Christopher Landon,32453345,32453345
Steve Bendelack,32553210,32553210
Joseph Zito,32600000,32600000
Bonnie Hunt,32662299,32662299
John Gatins,32701088,32701088
Rowdy Herrington,16372049.5,32744099
Marcus Raboy,32983713,32983713
Daniel Barnz,16581724.5,33163449
Dinesh D'Souza,33349949,33349949
Sheldon Lettich,16688152.5,33376305
John Patrick Shanley,33422556,33422556
Steven E. de Souza,33423521,33423521
Kent Alterman,33472850,33472850
Jonathan Hensleigh,33682273,33682273
Matt Williams,33771174,33771174
Phil Traill,33860010,33860010
Kelly Makin,33864342,33864342
Mark Romanek,17004588,34009176
Ari Sandel,34017854,34017854
Peter Sollett,11364755,34094265
Kevin Tancharoen,17156524,34313048
Patty Jenkins,34468224,34468224
Tommy O'Haver,17236968,34473936
George Armitage,17242965,34485930
Peter Landesman,34531832,34531832
James Gray,8644778.5,34579114
Florent-Emilio Siri,34636443,34636443
Liz Friedlander,34703228,34703228
Martin Lawrence,34746109,34746109
Robert Harmon,17441330,34882660
J Blakeson,34912982,34912982
Mark Helfrich,35000629,35000629
Todd Strauss-Schulson,35033759,35033759
Christian Duguay,17517536.5,35035073
Oliver Parker,11680929,35042787
Scott Speer,35057332,35057332
Justin Chadwick,17569852.5,35139705
Jake Schreier,17657851,35315702
Joseph Ruben,35324232,35324232
Gregory Nava,35422828,35422828
Dan Mazer,35537564,35537564
Andrew Bergman,17877202.5,35754405
Robert Lorenz,35754555,35754555
Henry Koster,36000000,36000000
Cecil B. DeMille,36000000,36000000
Diane Keaton,36037909,36037909
Barry Cook,36073232,36073232
Walter Hill,12033772.33,36101317
Todd Graff,18062755,36125510
Camille Delamarre,18156692,36313384
Don Siegel,36500000,36500000
Chuck Sheetz,36696761,36696761
Chris Nahon,36833473,36833473
David Raynr,12311973.67,36935921
Edward Norton,37036404,37036404
Neil Marshall,12361207,37083621
Nicolas Winding Refn,9317273.25,37269093
Christian E. Christiansen,37300107,37300107
Alan Poul,37481242,37481242
John Hoffman,37566230,37566230
Joan Chen,37752931,37752931
Kerry Conran,37760080,37760080
Joel Gallen,37882551,37882551
Sean Penn,19036192,38072384
James Foley,12697948.33,38093845
Paul Michael Glaser,38122105,38122105
Mike Nawrocki,19136615.5,38273231
Carl Rinsch,38297305,38297305
John Crowley,38317535,38317535
Phil Joanou,38432823,38432823
Steven Seagal,38590500,38590500
James Marsh,19422620.5,38845241
Rachel Talalay,19468313,38936626
Gurinder Chadha,19571399,39142798
Patrick Hughes,39292022,39292022
Peter Webber,19651154.5,39302309
John Eng,39399750,39399750
Steve Antin,39440655,39440655
Joe Camp,39552600,39552600
Harry Elfont,19795973.5,39591947
Xavier Gens,19854764,39709528
Michael Schultz,19939865,39879730
Cathy Malkasian,39880476,39880476
Leslie Small,19968440.5,39936881
Billy Bob Thornton,20001270.5,40002541
Chris Stokes,40066497,40066497
Pitof,40198710,40198710
Beeban Kidron,40203020,40203020
David Mirkin,40334024,40334024
Perry Andelin Blake,40363530,40363530
Nicole Holofcener,8080269,40401345
David Lynch,13605814.67,40817444
Ken Scott,20436915,40873830
Richard Fleischer,20450000,40900000
Daniel Stamm,40990055,40990055
Morgan Spurlock,13680406,41041218
Todd Field,20689126.5,41378253
Tim Robbins,20962485,41924970
Tim McCanlies,20986531,41973062
Drew Goddard,42043633,42043633
Karyn Kusama,21031390,42062780
Jorge Blanco,42194060,42194060
Danny DeVito,14094771.67,42284315
Michael Dougherty,42592530,42592530
James Gartner,42643187,42643187
Stuart Gillard,42660000,42660000
Jim Fall,42672630,42672630
Chris Kentis,21528056,43056112
Scott Waugh,43568507,43568507
Audrey Wells,43601508,43601508
Jerome Robbins,43650000,43650000
Shana Feste,14576182.67,43728548
Gary David Goldberg,43894863,43894863
Bernardo Bertolucci,43984230,43984230
Theodore Melfi,44134898,44134898
Fernando Meirelles,14734054.67,44202164
Danny Cannon,22134792.5,44269585
Michael Rymer,22155472.5,44310945
Eugenio Derbez,44456509,44456509
Christopher Guest,11141198,44564792
Michel Hazanavicius,44667095,44667095
Elizabeth Allen Rosenbaum,22378561,44757122
Jun Falkenstein,45542421,45542421
Lee Toland Krieger,22786431,45572862
Clare Kilner,22846909,45693818
Christopher Cain,22896599.5,45793199
Patrick Tatopoulos,45802315,45802315
Paul Weiland,46012734,46012734
Stanley Kramer,46300000,46300000
Sarah Smith,46440491,46440491
Griffin Dunne,23361862.5,46723725
Christian Ditter,46813366,46813366
Christophe Gans,46982632,46982632
Michael Hoffman,15812603.67,47437811
Mennan Yapo,47852604,47852604
Steve Trenbirth,47887943,47887943
Simon Curtis,23951221,47902442
Cedric Nicolas-Troyan,47952020,47952020
Jennifer Flackett,48006503,48006503
Tom Holland,24208079.5,48416159
Robin Budd,48423368,48423368
Aaron Seltzer,48546578,48546578
Nicholas Hytner,16329422,48988266
Dwight H. Little,24647196.5,49294393
Jane Campion,16438503.33,49315510
Rod Lurie,9930159.8,49650799
David S. Ward,49797148,49797148
Anthony Hemingway,49875589,49875589
Geoff Murphy,50024083,50024083
Rupert Wainwright,50041732,50041732
Jorge R. Gutiérrez,50150619,50150619
Kevin Donovan,50189179,50189179
Darren Grant,50382128,50382128
R.J. Cutler,50461335,50461335
Mira Nair,10102398.8,50511994
Tom McCarthy,25363778,50727556
Alexander Witt,50740078,50740078
Graham Annable,50807639,50807639
Sam Fell,50818750,50818750
Stiles White,50820940,50820940
Garth Jennings,51019112,51019112
Cory Edwards,51053787,51053787
Denzel Washington,25652144.5,51304289
John Wells,25694569,51389138
Gillian Armstrong,25755994.5,51511989
Ava DuVernay,26072015,52144030
Leigh Whannell,52200504,52200504
Alejandro Agresti,52320979,52320979
Sam Miller,26303995.5,52607991
Ted Demme,52937130,52937130
Anton Corbijn,17901682.67,53705048
Peter MacDonald,53715611,53715611
William Malone,27027052.5,54054105
Peter Hedges,27106817,54213634
Luis Valdez,54215416,54215416
Fede Alvarez,54239856,54239856
Sean McNamara,27132702,54265404
James Watkins,27164048.5,54328097
Nima Nourizadeh,54724272,54724272
Fred Wolf,27400373,54800746
Mark A.Z. Dippé,54967359,54967359
William Shatner,55210049,55210049
Kevin Munroe,27657975,55315950
Vincent Ward,55350897,55350897
Tommy Wirkola,27861889.5,55723779
Gary Shore,55942830,55942830
Chris Butler,55994557,55994557
Steve Box,56068547,56068547
Preston A. Whitmore II,28065801,56131602
Brett Leonard,28074500,56149000
Thea Sharrock,56154094,56154094
Geoffrey Sax,28259120.5,56518241
David F. Sandberg,56536016,56536016
David Hackl,56729973,56729973
Cal Brunker,57011847,57011847
John Dahl,14368052.25,57472209
Ericson Core,28772222,57544444
Joseph L. Mankiewicz,57750000,57750000
Matthew O'Callaghan,58336565,58336565
Jamie Blanks,29216386.5,58432773
Will Finn,29243671.5,58487343
Bruce McCulloch,19525348.33,58576045
David Cronenberg,11758590.4,58792952
Ash Brannon,58867694,58867694
John Francis Daley,58879132,58879132
Brad Anderson,11783745.6,58918728
Kevin Macdonald,19717492.67,59152478
Jodie Foster,19828357,59485071
Mark Pellington,29795598.5,59591197
Christopher Spencer,59696176,59696176
Jonathan Dayton,59889948,59889948
Mike Binder,19997673.67,59993021
Forest Whitaker,60033780,60033780
Michael McCullers,60269340,60269340
Steve McQueen,30334087,60668174
Stephen Kay,20447712,61343136
Tom Hanks,30687894,61375788
Andrew Fleming,15397312.25,61589249
Salim Akil,30846431.5,61692863
Tom Tykwer,12417028.8,62085144
Måns Mårlind,62321039,62321039
Terrence Malick,20800391.67,62401175
Babak Najafi,62401264,62401264
George Nolfi,62453315,62453315
Mary Lambert,31343338.5,62686677
Robert Altman,20977080.33,62931241
Colin Strause,31584245.5,63168491
Andrey Konchalovskiy,31799588,63599176
Jeff Wadlow,21214091,63642273
Steven Zaillian,31962179.5,63924359
Peter Lepeniotis,64238770,64238770
Andrew Douglas,64255243,64255243
Shekhar Kapur,21527877,64583631
Danny Leiner,32477269.5,64954539
Jason Moore,64998368,64998368
Hugh Hudson,32671597,65343194
Dennis Iliadis,32721635,65443270
Sanaa Hamri,32804053,65608106
Gregory Jacobs,66009973,66009973
Angela Robinson,33049398.5,66098797
Terry Zwigoff,33129197.5,66258395
Jimmy Hayward,33143569,66287138
Jessie Nelson,33277685,66555370
Sofia Coppola,16789091.5,67156366
Neil LaBute,22429132.67,67287398
Mark Rosman,33839467.5,67678935
John Schlesinger,34064786,68129572
Richard Loncraine,22725551.67,68176655
Sidney Lumet,17078655.5,68314622
Peter Howitt,17167359,68669436
Roman Polanski,17170880.75,68683523
Michael Tiddes,23010448,69031344
Scott Stewart,34652353,69304706
Chris Noonan,34787824.5,69575649
Colin Higgins,69700000,69700000
Rian Johnson,34993971,69987942
Mike McCoy,70011073,70011073
Kevin Bray,35671485,71342970
Nimród Antal,23803177,71409531
Sharon Maguire,71500556,71500556
Andrés Muschietti,71588220,71588220
Gil Junger,35799457,71598914
Ron Underwood,23902065,71706195
Simon Wincer,17934709.75,71738839
Dan Trachtenberg,71897215,71897215
Frederik Du Chau,35952314.5,71904629
Steve Beck,35973638,71947276
Michael Tollin,35985688,71971376
George Cukor,72000000,72000000
Eli Roth,24002936,72008808
Amy Heckerling,24032854,72098562
Jim Gillespie,72219395,72219395
Nelson McCormick,36440360,72880720
Kelly Asbury,73215310,73215310
Kevin Greutert,36670134,73340268
Victor Salva,24556334.33,73669003
Julie Taymor,18681693.25,74726773
Stefen Fangmeier,75030163,75030163
Chris Koch,37708562.5,75417125
John Stockwell,25173302,75519906
Chris Rock,25205343.67,75616031
David Carson,75668868,75668868
Hideo Nakata,75888270,75888270
Paul King,76137505,76137505
Jean-Marc Vallée,25388618,76165854
Stig Bergqvist,76501438,76501438
James Frawley,76657000,76657000
Luis Mandoki,38421768,76843536
Dennie Gordon,19286641,77146564
James Ivory,12859911,77159466
Luc Jacquet,77413017,77413017
Simon Wells,39032067,78064134
Alex Kendrick,26049454.33,78148363
Charles Stone III,39099232,78198464
Harald Zwart,39225460,78450920
Michael Pressman,78656813,78656813
Barbet Schroeder,26230720,78692160
John Badham,79568000,79568000
John Polson,39830795,79661590
Gina Prince-Bythewood,26606770.67,79820312
Howard Deutch,26737630.67,80212892
Roger Kumble,26742807.67,80228423
Henry Selick,40344787.5,80689575
Gil Kenan,40766351.5,81532703
Mathieu Kassovitz,41059883,82119766
Gabor Csupo,82234139,82234139
Richard Attenborough,27513932.33,82541797
Akiva Schaffer,27540615.67,82621847
Alan Parker,27542401.33,82627204
Richard Curtis,27551257.67,82653773
David Soren,83024900,83024900
Jim Abrahams,83400000,83400000
Niki Caro,27855546.67,83566640
Brian Gibson,41967834,83935668
Norman Ferguson,84300000,84300000
Tod Williams,84749884,84749884
Sylvain White,42442088,84884176
Mike Judge,21287223,85148892
David Wain,28419487.33,85258462
Trey Parker,28455048.67,85365146
Stephen Hillenburg,85416609,85416609
Ric Roman Waugh,42919096,85838192
Patricia Riggen,28823757.67,86471273
Ryan Murphy,43664454,87328908
Joel Edgerton,43771291,87542582
Michael Ritchie,43968571,87937142
Paul McGuigan,12567396.14,87971773
Craig Gillespie,22061759,88247036
Jean-Pierre Jeunet,17695693.4,88478467
Russell Mulcahy,29534642.33,88603927
Robert Iscove,29623015.67,88869047
Julie Anne Robinson,44669273,89338546
John Milius,29907537.33,89722612
Steven Quale,45064615,90129230
Rick Famuyiwa,22532852.25,90131409
Callie Khouri,45127693.5,90255387
Etan Cohen,90353764,90353764
Joe Pytka,90443603,90443603
Tamra Davis,30552104.67,91656314
John Luessenhop,46039488,92078976
Tom Vaughan,46065803,92131606
Brad Furman,30748254.67,92244764
Morten Tyldum,46159102,92318204
John Frankenheimer,30878118,92634354
Gregory Hoblit,30916118,92748354
Kimberly Peirce,23244733.25,92978933
Bille Woodruff,23393527.5,93574110
John Schultz,31492071.33,94476214
Edgar Wright,23645148.25,94580593
Jon Hurwitz,47405723,94811446
Patrick Lussier,31744983.33,95234950
Michael Patrick King,95328937,95328937
Gavin O'Connor,19305243.8,96526219
Steve Miner,19357239.8,96786199
Charles Herman-Wurmfeld,32424650,97273950
Lawrence Kasdan,19457037.8,97285189
David Kellogg,97360069,97360069
Rob Zombie,19484080,97420400
Joe Carnahan,32542914.33,97628743
Michael Lehmann,32599584,97798752
Peter Cattaneo,19638493.8,98192469
Ole Bornedal,49122319,98244638
Pete Travis,33023224,99069672
Alejandro Amenábar,24807691,99230764
Bo Welch,100446895,100446895
Igor Kovalyov,100491683,100491683
Reginald Hudlin,33541019,100623057
Joel Coen,25227835.25,100911341
Andrew Niccol,20191060.2,100955301
Alexandre Aja,25279378.25,101117513
Brenda Chapman,101217900,101217900
Ron Shelton,25338681.5,101354726
Irwin Winkler,25488293.25,101953173
Robert Stevenson,102300000,102300000
Jeannot Szwarc,102922376,102922376
Peter Ramsey,103400692,103400692
Jonathan Levine,34466990.67,103400972
Miguel Arteta,20831131.6,104155658
Bennett Miller,52176531,104353062
Terence Young,34822345,104467035
Carl Franklin,35219308,105657924
Norman Jewison,26447237.5,105788950
Noam Murro,106369117,106369117
Duncan Jones,35561858,106685574
Clay Kaytis,107225164,107225164
Evan Goldberg,53787688.5,107575377
Frank Miller,35877099,107631297
Oren Peli,107917283,107917283
Jon Avnet,36017707.67,108053123
Jean-Jacques Annaud,36081973.33,108245920
John A. Davis,54527053.5,109054107
Peter Billingsley,109176215,109176215
Jim Sheridan,27317148,109268592
John Cornell,109306210,109306210
David Koepp,22001923.8,110009619
Lawrence Guterman,55192898.5,110385797
Burr Steers,27718895.25,110875581
Steve Pink,37044660,111133980
Stuart Baird,55934939.5,111869879
William Brent Bell,37372505,112117515
Stephen Gaghan,37449981,112349943
Stanley Kubrick,56176525.5,112353051
Scott Cooper,37784272.33,113352817
John Erick Dowdle,28439563.5,113758254
Byron Howard,114053579,114053579
Denis Villeneuve,38231814,114695442
Michael Caton-Jones,28698915.75,114795663
Mark Neveldine,23086958.4,115434792
José Padilha,39074024.67,117222074
Phil Alden Robinson,118471320,118471320
Hoyt Yeatman,119420252,119420252
Cody Cameron,119793567,119793567
John R. Leonetti,60095621.5,120191243
Dave Green,60277788.5,120555577
Tony Bancroft,120618403,120618403
Penelope Spheeris,121697350,121697350
Richard LaGravenese,24549686.6,122748433
Iain Softley,30706329.25,122825317
Luis Llosa,61460285,122920570
Jay Chandrasekhar,30732667.25,122930669
Peter Sohn,123070338,123070338
James McTeigue,41535952.33,124607857
Jared Hess,41617368,124852104
Josh Boone,124868837,124868837
Michael Sucsy,125014030,125014030
Ryan Coogler,62905363.5,125810727
Ronny Yu,31546275.25,126185101
Steve Hickner,126597121,126597121
P.J. Hogan,126805112,126805112
Mel Gibson,42319717.33,126959152
Peter Farrelly,127175354,127175354
David McNally,63760630.5,127521261
Daniel Espinosa,42514886.67,127544660
Jay Russell,42599492,127798476
Jason Friedberg,32200757.75,128803031
Don Bluth,43047551.67,129142655
Stephen Daldry,25924134,129620670
Howard Zieff,64823621,129647242
Warren Beatty,65132280,130264560
Paul Thomas Anderson,21886070,131316420
Mark Steven Johnson,67027640,134055280
Breck Eisner,45033973.33,135101920
Stephen Norrington,68231832.5,136463665
Jon Lucas,45532793,136598379
Paul Haggis,34255408.25,137021633
David S. Goyer,45891239.67,137673719
Eric Leighton,137748063,137748063
Peter Lord,68922520.5,137845041
Charles Martin Smith,46309696.33,138929089
Glenn Ficarra,46709119.33,140127358
Daniel Myrick,140530114,140530114
Jonathan Lynn,35177212.5,140708850
Mike Gabriel,141600000,141600000
Bob Clark,47250427,141751281
Alessandro Carloni,143523463,143523463
Alan J. Pakula,71822610.5,143645221
Josh Gordon,72955999,145911998
David Dobkin,36600260.5,146401042
Barbra Streisand,48813342.33,146440027
Florian Henckel von Donnersmarck,48848990.33,146546971
Kathryn Bigelow,48863131,146589393
Michael Lembeck,73640067,147280134
Peter Hewitt,36848936,147395744
Ben Falcone,73776455,147552910
Spike Jonze,36970759,147883036
David Gordon Green,18500107.25,148000858
Tom McGrath,148337537,148337537
Takashi Shimizu,74659855,149319710
J.B. Rogers,75306764,150613528
Guy Hamilton,37825000,151300000
Gary Fleder,25251115.17,151506691
Terry Gilliam,21652967.29,151570771
Lewis Gilbert,50866666.67,152600000
Clark Johnson,76461288,152922576
George Tillman Jr.,38240794,152963176
Nicholas Meyer,76894498,153788996
Rob Bowman,38552786.75,154211147
David Twohy,38588475.75,154353903
Rupert Sanders,155111815,155111815
Michel Gondry,38942559.75,155770239
Ruben Fleischer,52880309.33,158640928
Jake Kasdan,39783454.5,159133818
John Hamburg,53074928.33,159224785
Herbert Ross,80000000,160000000
James Wong,40164921,160659684
Roger Spottiswoode,53634485.67,160903457
Richard Linklater,14664905.73,161313963
Paul Tibbitt,162495848,162495848
Jon Amiel,41167332,164669328
Jennifer Yuh Nelson,165230261,165230261
Mikael Håfström,41538679.75,166154719
Joe Roth,83654787.5,167309575
Sam Taylor-Johnson,83796625.5,167593251
Richard Lester,56238335,168715005
Mick Jackson,84709916,169419832
Kevin Rodney Sullivan,56863546.33,170590639
David Lean,42830500,171322000
Sylvester Stallone,86625371,173250742
Marc Lawrence,57816812.67,173450438
Timur Bekmambetov,57857445,173572335
Phyllida Lloyd,86831823,173663646
Peter Hyams,34837036,174185180
Peter Faiman,174635000,174635000
Greg Mottola,58286668.33,174860005
Boaz Yakin,58473535.67,175420607
Josh Trank,58933646,176800938
Scott Hicks,35583306.4,177916532
Andrzej Bartkowiak,35821900,179109500
Tom Dey,59744646,179233938
Pierre Morel,45041021.5,180164086
Kirk Jones,36288821.8,181444109
Dominic Sena,60561607.67,181684823
George Clooney,45423646.75,181694587
David Silverman,183132370,183132370
Wes Ball,92050596.5,184101193
Gary Trousdale,92077321,184154642
Wayne Wang,36964195.2,184820976
William Cottrell,184925485,184925485
Baltasar Kormákur,61769955,185309865
David Bowers,46425301,185701204
Albert Hughes,46479830.75,185919323
Michael Moore,37183996,185919980
Henry Joost,62256524.33,186769573
Robert Redford,37480452.8,187402264
Jesse Dylan,62696845,188090535
John Moore,47027413,188109652
Thomas Carter,62806443.67,188419331
Sam Weisman,47157207.25,188628829
Rich Moore,189412677,189412677
Harold Becker,37991927.8,189959639
Les Mayfield,38174620.8,190873104
Taylor Hackford,31855070.5,191130423
Luke Greenfield,47941854.75,191767419
Elizabeth Banks,96132575.5,192265151
Kevin Lima,97324218,194648436
Peter Chelsom,39355909.2,196779546
Brian Robbins,32805137.67,196830826
Ken Kwapis,49216905.75,196867623
Milos Forman,66060211.67,198180635
Will Gluck,66705160,200115480
Tate Taylor,100109763.5,200219527
Nathan Greno,200807262,200807262
Eric Brevig,100935564,201871128
Kenny Ortega,67305179.33,201915538
Tony Gilroy,67583511.33,202750534
Nick Cassavetes,51045757.25,204183029
Stephen Hopkins,34118334.5,204710007
Kevin Smith,20553808.6,205538086
Thor Freudenthal,68527744.67,205583234
Jonathan Frakes,51468038.5,205872154
George P. Cosmatos,69691679,209075037
John Whitesell,42166964.6,210834823
Mike Nichols,42178760.2,210893801
Bibo Bergeron,105782341.5,211564683
Lee Daniels,70568409.33,211705228
Roger Michell,71263290.67,213789872
James DeMonaco,71596003.33,214788010
Mimi Leder,71741432.67,215224298
Neil Jordan,27003349.63,216026797
John Pasquin,72025478,216076434
Randal Kleiser,108076580,216153160
James Bobin,72217146.33,216651439
Mark Osborne,108367086.5,216734173
Kirk De Micco,108635757,217271514
Stephen Frears,24252967.22,218276705
Frank Darabont,54632879.25,218531517
Luc Besson,54837368.25,219349473
Nora Ephron,73290400.67,219871202
James L. Brooks,73298138.33,219894415
Wes Anderson,31439603.29,220077223
Victor Fleming,110428945,220857890
Tarsem Singh,55498651,221994604
Don Hall,222487711,222487711
Hugh Wilson,55708283.75,222833135
Tobe Hooper,37971422.5,227828535
Keenen Ivory Wayans,57018530.5,228074122
Bruce Beresford,76045092.33,228135277
Ben Affleck,114096341.5,228192683
Mark Dindal,76080276.33,228240829
Roger Donaldson,32931217.29,230518521
Darren Lynn Bousman,57646484.75,230585939
Neil Burger,46142843.2,230714216
David R. Ellis,38635832.17,231814993
Angelina Jolie Pitt,58010068.5,232040274
Matthew Vaughn,58783243.5,235132974
Brad Silberling,58824292.25,235297169
John Madden,47272993.4,236364967
Stephen Herek,33770028,236390196
Mark Andrews,237282182,237282182
James Algar,79901459.33,239704378
Neill Blomkamp,80088540,240265620
Robert Stromberg,241407328,241407328
Steve Oedekerk,60362731.75,241450927
Brian Helgeland,48425654.2,242128271
Mel Brooks,81306494.33,243919483
Rupert Wyatt,81334364,244003092
Dean Parisot,61353939.5,245415758
Robert Wise,122757143,245514286
Gabriele Muccino,61465720,245862880
Malcolm D. Lee,35205881.86,246441173
Len Wiseman,82774542.67,248323628
Sean Anders,62514475.5,250057902
William Friedkin,62646597.5,250586390
Darren Aronofsky,41885826.83,251314961
Alexander Payne,50326077.2,251630386
Frank Marshall,63120914.25,252483657
Gary Winick,50633939.6,253169698
Curtis Hanson,50657908,253289540
Gavin Hood,63529136,254116544
Anthony Minghella,85192059.67,255576179
Steven Brill,64164066.5,256656266
