Director,Avg,Gross
Mateo Gil,199652,199652
Tim Heidecker,200803,200803
Bill Plympton,203134,203134
Claude Miller,206400,206400
Emma-Kate Croghan,212285,212285
Justin Dillon,215185,215185
Robert Cary,220234,220234
Bobcat Goldthwait,221210,221210
Eli Craig,223615,223615
Guillaume Canet,112445.5,224891
Mel Smith,226792,226792
Rohit Jagessar,227241,227241
Dan Harris,228524,228524
Errol Morris,228830,228830
John Maclean,229094,229094
Lance Hool,229311,229311
Mathieu Amalric,231186,231186
Richard E. Grant,233103,233103
Gareth Edwards,237301,237301
Jeremy Brock,238774,238774
Feroz Abbas Khan,240425,240425
Neema Barnette,243347,243347
Mike Bruce,243768,243768
Bigas Luna,244465,244465
Paul Fierlinger,246574,246574
Harry Gantz,247740,247740
André Øvredal,252652,252652
Robert Lee King,265107,265107
Fatih Akin,274385,274385
Alex Gibney,274661,274661
Kevin Jordan,277233,277233
Efram Potelle,279282,279282
Anthony Powell,287761,287761
Eric Schaeffer,295468,295468
Andrew Currie,298110,298110
Stefan Schwartz,302204,302204
Lucrecia Martel,304124,304124
Christopher Morris,304137,304137
Alex Zamm,306715,306715
Marco Kreuzpaintner,154609,309218
Petter Næss,313436,313436
Udayan Prasad,317040,317040
Akira Kurosawa,158958.5,317917
Craig Zobel,318622,318622
Matt Dillon,325491,325491
Keith Gordon,336456,336456
Mitchell Lichtenstein,347578,347578
Dario Argento,349618,349618
Shane Meadows,117455.3333,352366
Ashish R. Mohan,352684,352684
Agnieszka Holland,352786,352786
Gregor Jordan,353743,353743
David Duchovny,371081,371081
Joe Swanberg,186510,373020
Andrea Arnold,373060,373060
David Anspaugh,375474,375474
Anna Muylaert,375723,375723
Hans Canosa,379122,379122
Maurizio Benazzo,381225,381225
Spencer Susser,382946,382946
Lena Dunham,389804,389804
Isabel Coixet,395592,395592
Sally Potter,396035,396035
Rick Bieber,399611,399611
Ray Lawrence,399879,399879
Alain Resnais,403649,403649
Henry Bean,406035,406035
Jonas Åkerlund,410241,410241
Claude Chabrol,206607.5,413215
Leslye Headland,418268,418268
Shane Carruth,424760,424760
Ray Griggs,425899,425899
José Luis Valenzuela,428535,428535
Morgan J. Freeman,216594,433188
Tom Kalin,434417,434417
Maryam Keshavarz,439958,439958
Jamal Hill,444044,444044
Takeshi Kitano,447750,447750
Chatrichalerm Yukol,454255,454255
Jeff Nathanson,463730,463730
Finn Taylor,464655,464655
Richard Ayoade,466702,466702
Andrew Haigh,469947,469947
Frank Sebastiano,475000,475000
Corey Yuen,480314,480314
Karen Moncrieff,240718.5,481437
Joshua Oppenheimer,484221,484221
Andrey Zvyagintsev,502028,502028
Khyentse Norbu,505295,505295
William Bindley,508867,508867
Marc F. Adler,511920,511920
Michel Leclerc,513836,513836
Stewart Raffill,531806,531806
Huck Botko,535249,535249
Myles Berkowitz,536767,536767
Martin Koolhoven,542860,542860
Bill Muir,549632,549632
James Schamus,560512,560512
Mars Callahan,562059,562059
Rohan Sippy,563699,563699
David Jacobson,568695,568695
Andrew Jarecki,578382,578382
Joshua Seftel,578527,578527
Jonathan Caouette,592014,592014
Steve Taylor,594904,594904
Jacob Aaron Estes,603943,603943
Rich Cowan,609042,609042
Khalid Mohamed,610991,610991
Aki Kaurismäki,611709,611709
Hsiao-Hsien Hou,613556,613556
Roger Nygard,617172,617172
Jirí Menzel,617228,617228
Scandar Copti,621240,621240
Michael Landon Jr.,316184.5,632369
Laurent Tirard,634277,634277
Ham Tran,638951,638951
Kaige Chen,668171,668171
Richard Williams,669276,669276
Ol Parker,671240,671240
Jafar Panahi,673780,673780
Tomm Moore,686383,686383
Jason Eisener,703002,703002
René Féret,706622,706622
Rebecca Miller,712294,712294
Mike van Diem,713413,713413
Gia Coppola,750100,750100
Ralph Fiennes,756452,756452
Hong-jin Na,770629,770629
Robert Towne,777423,777423
Michael Herz,792966,792966
Michael McGowan,795126,795126
Richard Dutcher,798341,798341
Ruggero Deodato,800000,800000
Franklin J. Schaffner,800000,800000
Henry Jaglom,821997,821997
James Manera,830210,830210
Vera Farmiga,841206,841206
Steve Buscemi,424653,849306
Katsuhiro Ôtomo,424775,849550
C. Jay Cox,425938,851876
Carroll Ballard,860002,860002
Dave McKean,864959,864959
Sylvio Tabet,869325,869325
Siddharth Anand,872643,872643
David Webb Peoples,882290,882290
Marc Forby,883887,883887
Salvador Carrasco,886410,886410
Piyush Dinker Pandya,902835,902835
Joseph Dorman,906666,906666
Majid Majidi,925402,925402
Max Färberböck,927107,927107
Fenton Bailey,475143,950286
Robby Henson,978908,978908
Marc Levin,982214,982214
James Fargo,1000000,1000000
Dick Richards,1000000,1000000
Joe Cornish,1024175,1024175
Jon Shear,1027119,1027119
Rodrigo Cortés,1028658,1028658
Meiert Avis,1046166,1046166
Christian Carion,1050445,1050445
James Cox,1056102,1056102
Nadine Labaki,1060591,1060591
Matthew Diamond,1064277,1064277
Bob Rafelson,1075288,1075288
Gaspar Noé,544984,1089968
Sarah Gavron,1094998,1094998
Gary Rogers,1098224,1098224
Je-kyu Kang,1110186,1110186
Siddiq Barmak,1127331,1127331
David Sington,1134049,1134049
Sajid Khan,1165104,1165104
Wayne Beach,1181197,1181197
Cristian Mungiu,1185783,1185783
Alice Wu,1186323,1186323
Jon Hess,1200000,1200000
Vipul Amrutlal Shah,1207007,1207007
Fabián Bielinsky,1221261,1221261
Abel Ferrara,1227324,1227324
William Dear,615216,1230432
Jamie Travis,1243961,1243961
Alison Maclean,1282084,1282084
Greg Harrison,653126,1306252
Ryan Little,1310270,1310270
Shona Auerbach,1340891,1340891
John Turturro,688363,1376726
Beto Gómez,1391770,1391770
Jeff Burr,1400000,1400000
Bob Gosse,1425993,1425993
Gavin Wiesen,1429260,1429260
Derrick Borte,1474508,1474508
Marielle Heller,1477002,1477002
Michael Cimino,1500000,1500000
Ira Sachs,1506998,1506998
Henry Alex Rubin,1523883,1523883
Lynn Shelton,1573712,1573712
Anurag Basu,1602466,1602466
Eric Blakeney,1631839,1631839
Mike Cahill,825366,1650732
Chris Paine,1677838,1677838
Kenneth Johnson,1686429,1686429
Carlos Saura,1687311,1687311
Frank LaLoggia,1705139,1705139
Greg Berlanti,1744858,1744858
Peter Care,1779284,1779284
Daniel Barber,1818681,1818681
Ken Loach,1829142,1829142
Tim Chambers,1889522,1889522
Mark Illsley,1943649,1943649
Michael Chapman,1953732,1953732
Antonio Banderas,1954202,1954202
Maria Maggenti,1977544,1977544
Noel Marshall,2000000,2000000
Nancy Walker,2000000,2000000
Lynne Ramsay,1002943,2005886
James Toback,1003112.5,2006225
Sterling Van Wagenen,2024854,2024854
David Atkins,2025238,2025238
Barry W. Blaustein,2047570,2047570
Antonia Bird,2060953,2060953
Kelly Reichardt,696631.3333,2089894
Paul Mazursky,2104000,2104000
Emile Ardolino,2119994,2119994
Wilson Yip,2126511,2126511
Kevin Brodie,2148212,2148212
Rakeysh Omprakash Mehra,2197331,2197331
Billy Ray,2207975,2207975
John Stephenson,2209479,2209479
Bille August,2221994,2221994
George Gallo,1122104,2244208
Angelo Pizzo,2246000,2246000
Max Mayer,2277396,2277396
Thomas Vinterberg,760618,2281854
Ari Folman,2283276,2283276
Lloyd Bacon,2300000,2300000
Christopher Scott Cherot,2301777,2301777
Jim Goddard,2315683,2315683
Fred Schepisi,2326407,2326407
Tom Brady,2331318,2331318
Kurt Hale,1181206.5,2362413
Dror Moreh,2408553,2408553
David G. Evans,2428241,2428241
Andy Garcia,2483955,2483955
Brad J. Silverman,2507106,2507106
Courtney Hunt,2508841,2508841
Jamie Babbit,1290519.5,2581039
David M. Matthews,2592808,2592808
Ron Fricke,2601847,2601847
Zal Batmanglij,1336955,2673910
George Hickenlooper,1347118,2694236
Ryan Fleck,2694973,2694973
Dan Rush,2711210,2711210
Vincent Gallo,1365832.5,2731665
Robert B. Weide,2775593,2775593
Jeff Franklin,2800000,2800000
William A. Graham,2807854,2807854
Harry Beaumont,2808000,2808000
Youssef Delara,2833383,2833383
Paolo Sorrentino,2835886,2835886
David Nixon,2848578,2848578
Susanne Bier,2849142,2849142
David Boyd,2859955,2859955
Clark Gregg,2926565,2926565
Vincente Minnelli,2956000,2956000
Rowan Joffe,2963012,2963012
Sean Durkin,2981638,2981638
Mark Sandrich,3000000,3000000
Harry F. Millarde,3000000,3000000
Terence Davies,3041803,3041803
Maggie Greenwald,3050934,3050934
Patrice Leconte,3058380,3058380
Harley Cokeliss,3060858,3060858
Darren Stein,1538720.5,3077441
Charlie Kaufman,3081925,3081925
Jon Stewart,3093491,3093491
Stephen Carpenter,3100650,3100650
Enrique Begne,3105269,3105269
Patrick Creadon,3117666,3117666
Gillian Robespierre,3122616,3122616
Susan Seidelman,3123749,3123749
Paul Schrader,1070520,3211560
Peter Medak,3275585,3275585
David LaChapelle,3278611,3278611
Louis C.K.,3293258,3293258
