Actor,Title,Score,Actor_Likes,Gross,Movie_Likes,idOld,id
Zooey Deschanel,Winter Passing ,6.4,11000,101228,414,ZooeyDeschanel WinterPassing ,root ZooeyDeschanel WinterPassing 
Zooey Deschanel,The New Guy ,5.9,11000,28972187,1000,ZooeyDeschanel TheNewGuy ,root ZooeyDeschanel TheNewGuy 
Zooey Deschanel,The Hitchhiker's Guide to the Galaxy ,6.8,11000,51019112,10000,ZooeyDeschanel TheHitchhiker'sGuidetotheGalaxy ,root ZooeyDeschanel TheHitchhiker'sGuidetotheGalaxy 
Zooey Deschanel,The Happening ,5,11000,64505912,6000,ZooeyDeschanel TheHappening ,root ZooeyDeschanel TheHappening 
Zooey Deschanel,Our Idiot Brother ,6.4,11000,24809547,11000,ZooeyDeschanel OurIdiotBrother ,root ZooeyDeschanel OurIdiotBrother 
Zooey Deschanel,Mumford ,6.9,11000,4554569,209,ZooeyDeschanel Mumford ,root ZooeyDeschanel Mumford 
Zooey Deschanel,Eulogy ,6.7,11000,70527,376,ZooeyDeschanel Eulogy ,root ZooeyDeschanel Eulogy 
Zooey Deschanel,Big Trouble ,6.5,11000,7262288,892,ZooeyDeschanel BigTrouble ,root ZooeyDeschanel BigTrouble 
Zooey Deschanel,All the Real Girls ,6.9,11000,548712,571,ZooeyDeschanel AlltheRealGirls ,root ZooeyDeschanel AlltheRealGirls 
Zoe Lister-Jones,Breaking Upwards ,6.2,331,76382,324,ZoeLister-Jones BreakingUpwards ,root ZoeLister-Jones BreakingUpwards 
Zoë Kravitz,No Reservations ,6.3,943,43097652,0,ZoëKravitz NoReservations ,root ZoëKravitz NoReservations 
Zoë Kravitz,It's Kind of a Funny Story ,7.2,943,6350058,20000,ZoëKravitz It'sKindofaFunnyStory ,root ZoëKravitz It'sKindofaFunnyStory 
Zoe Kazan,The Exploding Girl ,6.3,962,24705,377,ZoeKazan TheExplodingGirl ,root ZoeKazan TheExplodingGirl 
Zoe Kazan,Me and Orson Welles ,6.8,962,1186957,0,ZoeKazan MeandOrsonWelles ,root ZoeKazan MeandOrsonWelles 
Zak Penn,Incident at Loch Ness ,6.6,87,36830,400,ZakPenn IncidentatLochNess ,root ZakPenn IncidentatLochNess 
Zack Ward,Transformers ,7.1,662,318759914,8000,ZackWard Transformers ,root ZackWard Transformers 
Zack Ward,Trade ,7.5,662,214202,0,ZackWard Trade ,root ZackWard Trade 
Zachary Gordon,The Brothers Bloom ,6.9,975,3519627,0,ZacharyGordon TheBrothersBloom ,root ZacharyGordon TheBrothersBloom 
Zachary Gordon,Diary of a Wimpy Kid: Rodrick Rules ,6.6,975,52691009,0,ZacharyGordon DiaryofaWimpyKid:RodrickRules ,root ZacharyGordon DiaryofaWimpyKid:RodrickRules 
Zachary Gordon,Diary of a Wimpy Kid: Dog Days ,6.4,975,49002815,0,ZacharyGordon DiaryofaWimpyKid:DogDays ,root ZacharyGordon DiaryofaWimpyKid:DogDays 
Zach Gilford,The Last Stand ,6.4,971,12026670,24000,ZachGilford TheLastStand ,root ZachGilford TheLastStand 
Zach Gilford,Devil's Due ,4,971,15818967,0,ZachGilford Devil'sDue ,root ZachGilford Devil'sDue 
Yuri Lowenthal,The Pirates Who Don't Do Anything: A VeggieTales Movie ,5.7,354,12701880,175,YuriLowenthal ThePiratesWhoDon'tDoAnything:AVeggieTalesMovie ,root YuriLowenthal ThePiratesWhoDon'tDoAnything:AVeggieTalesMovie 
Yul Vazquez,The Last Big Thing ,6.9,96,22434,43,YulVazquez TheLastBigThing ,root YulVazquez TheLastBigThing 
Yuki Matsuzaki,Letters from Iwo Jima ,7.9,378,13753931,5000,YukiMatsuzaki LettersfromIwoJima ,root YukiMatsuzaki LettersfromIwoJima 
Yorick van Wageningen,Winter in Wartime ,7.1,163,542860,0,YorickvanWageningen WinterinWartime ,root YorickvanWageningen WinterinWartime 
Ye Liu,City of Life and Death ,7.7,52,119922,0,YeLiu CityofLifeandDeath ,root YeLiu CityofLifeandDeath 
Yaya DaCosta,And So It Goes ,5.7,712,15155772,3000,YayaDaCosta AndSoItGoes ,root YayaDaCosta AndSoItGoes 
Yasmine Al Massri,Caramel ,7.2,227,1060591,0,YasmineAlMassri Caramel ,root YasmineAlMassri Caramel 
Yaphet Kotto,The Running Man ,6.6,581,38122105,0,YaphetKotto TheRunningMan ,root YaphetKotto TheRunningMan 
Yaphet Kotto,Nothing But a Man ,8.1,581,12438,363,YaphetKotto NothingButaMan ,root YaphetKotto NothingButaMan 
Yaphet Kotto,Live and Let Die ,6.8,581,35400000,0,YaphetKotto LiveandLetDie ,root YaphetKotto LiveandLetDie 
Ximena Ayala,The Amazing Catfish ,7,31,11278,407,XimenaAyala TheAmazingCatfish ,root XimenaAyala TheAmazingCatfish 
Xander Berkeley,Shanghai Noon ,6.6,485,56932305,0,XanderBerkeley ShanghaiNoon ,root XanderBerkeley ShanghaiNoon 
Woody Strode,Kingdom of the Spiders ,5.9,423,17000000,0,WoodyStrode KingdomoftheSpiders ,root WoodyStrode KingdomoftheSpiders 
Woody Allen,The Curse of the Jade Scorpion ,6.8,11000,7496522,826,WoodyAllen TheCurseoftheJadeScorpion ,root WoodyAllen TheCurseoftheJadeScorpion 
Woody Allen,Small Time Crooks ,6.7,11000,17071230,812,WoodyAllen SmallTimeCrooks ,root WoodyAllen SmallTimeCrooks 
Woody Allen,New York Stories ,6.4,11000,10763469,877,WoodyAllen NewYorkStories ,root WoodyAllen NewYorkStories 
Woody Allen,Hollywood Ending ,6.6,11000,4839383,762,WoodyAllen HollywoodEnding ,root WoodyAllen HollywoodEnding 
Woody Allen,Deconstructing Harry ,7.4,11000,10569071,0,WoodyAllen DeconstructingHarry ,root WoodyAllen DeconstructingHarry 
Woody Allen,Anything Else ,6.4,11000,3203044,827,WoodyAllen AnythingElse ,root WoodyAllen AnythingElse 
Woody Allen,Annie Hall ,8.1,11000,39200000,0,WoodyAllen AnnieHall ,root WoodyAllen AnnieHall 
Wood Harris,Dredd ,7.1,818,26803366,92000,WoodHarris Dredd ,root WoodHarris Dredd 
Willie Garson,Play It to the Bone ,5.4,512,8427204,153,WillieGarson PlayIttotheBone ,root WillieGarson PlayIttotheBone 
Willie Garson,Being John Malkovich ,7.8,512,22858926,0,WillieGarson BeingJohnMalkovich ,root WillieGarson BeingJohnMalkovich 
William Smith,Conan the Barbarian ,6.9,1838,75134880,0,WilliamSmith ConantheBarbarian ,root WilliamSmith ConantheBarbarian 
William Smith,Broken Vessels ,6.6,919,13493,51,WilliamSmith BrokenVessels ,root WilliamSmith BrokenVessels 
William Schallert,House Party 2 ,5.1,901,19281235,232,WilliamSchallert HouseParty2 ,root WilliamSchallert HouseParty2 
William Morgan Sheppard,Love's Abiding Joy ,7.2,702,252726,76,WilliamMorganSheppard Love'sAbidingJoy ,root WilliamMorganSheppard Love'sAbidingJoy 
William McNamara,Copycat ,6.6,10000,32051917,0,WilliamMcNamara Copycat ,root WilliamMcNamara Copycat 
William Kircher,Out of the Blue ,7.3,109,728,285,WilliamKircher OutoftheBlue ,root WilliamKircher OutoftheBlue 
William Joseph Elk III,The Business of Fancydancing ,6.9,96,174682,96,WilliamJosephElkIII TheBusinessofFancydancing ,root WilliamJosephElkIII TheBusinessofFancydancing 
William Hurt,Tuck Everlasting ,6.7,882,19158074,0,WilliamHurt TuckEverlasting ,root WilliamHurt TuckEverlasting 
William Hurt,Race ,7.1,882,19097994,0,WilliamHurt Race ,root WilliamHurt Race 
William Hurt,Marilyn Hotchkiss' Ballroom Dancing and Charm School ,7.1,882,333658,16,WilliamHurt MarilynHotchkiss'BallroomDancingandCharmSchool ,root WilliamHurt MarilynHotchkiss'BallroomDancingandCharmSchool 
William Hootkins,Steamboy ,6.9,488,410388,973,WilliamHootkins Steamboy ,root WilliamHootkins Steamboy 
William Holden,The Bridge on the River Kwai ,8.2,682,27200000,0,WilliamHolden TheBridgeontheRiverKwai ,root WilliamHolden TheBridgeontheRiverKwai 
William Gates,Hoop Dreams ,8.3,7,7830611,0,WilliamGates HoopDreams ,root WilliamGates HoopDreams 
William Baldwin,The Squid and the Whale ,7.4,436,7362100,0,WilliamBaldwin TheSquidandtheWhale ,root WilliamBaldwin TheSquidandtheWhale 
Will Smith,Wild Wild West ,4.8,10000,113745408,0,WillSmith WildWildWest ,root WillSmith WildWildWest 
Will Smith,The Pursuit of Happyness ,8,10000,162586036,32000,WillSmith ThePursuitofHappyness ,root WillSmith ThePursuitofHappyness 
Will Smith,Suicide Squad ,6.9,10000,161087183,80000,WillSmith SuicideSquad ,root WillSmith SuicideSquad 
Will Smith,Seven Pounds ,7.7,10000,69951824,26000,WillSmith SevenPounds ,root WillSmith SevenPounds 
Will Smith,Men in Black II ,6.1,10000,190418803,2000,WillSmith MeninBlackII ,root WillSmith MeninBlackII 
Will Smith,Men in Black 3 ,6.8,10000,179020854,40000,WillSmith MeninBlack3 ,root WillSmith MeninBlack3 
Will Smith,Men in Black ,7.3,10000,250147615,0,WillSmith MeninBlack ,root WillSmith MeninBlack 
Will Smith,Independence Day ,6.9,10000,306124059,16000,WillSmith IndependenceDay ,root WillSmith IndependenceDay 
Will Smith,"I, Robot ",7.1,10000,144795350,0,"WillSmith I,Robot ","root WillSmith I,Robot "
Will Smith,I Am Legend ,7.2,10000,256386216,11000,WillSmith IAmLegend ,root WillSmith IAmLegend 
Will Smith,Hitch ,6.6,10000,177575142,0,WillSmith Hitch ,root WillSmith Hitch 
Will Smith,Hancock ,6.4,10000,227946274,0,WillSmith Hancock ,root WillSmith Hancock 
Will Smith,Focus ,6.6,10000,53846915,23000,WillSmith Focus ,root WillSmith Focus 
Will Smith,Enemy of the State ,7.3,10000,111544445,0,WillSmith EnemyoftheState ,root WillSmith EnemyoftheState 
Will Smith,Concussion ,7.1,10000,34531832,23000,WillSmith Concussion ,root WillSmith Concussion 
Will Smith,Bad Boys II ,6.6,10000,138396624,0,WillSmith BadBoysII ,root WillSmith BadBoysII 
Will Smith,Bad Boys ,6.8,10000,65807024,0,WillSmith BadBoys ,root WillSmith BadBoys 
Will Smith,Ali ,6.8,10000,58183966,0,WillSmith Ali ,root WillSmith Ali 
Will Smith,After Earth ,4.9,10000,60522097,37000,WillSmith AfterEarth ,root WillSmith AfterEarth 
Will Patton,Entrapment ,6.2,537,87704396,0,WillPatton Entrapment ,root WillPatton Entrapment 
Will Forte,The Watch ,5.7,1244,68701106,30000,WillForte TheWatch ,root WillForte TheWatch 
Will Forte,Cloudy with a Chance of Meatballs 2 ,6.5,622,119793567,15000,WillForte CloudywithaChanceofMeatballs2 ,root WillForte CloudywithaChanceofMeatballs2 
Will Forte,Cloudy with a Chance of Meatballs ,7,622,124870275,0,WillForte CloudywithaChanceofMeatballs ,root WillForte CloudywithaChanceofMeatballs 
Will Ferrell,The Wendell Baker Story ,5.5,8000,127144,143,WillFerrell TheWendellBakerStory ,root WillFerrell TheWendellBakerStory 
Will Ferrell,The Ladies Man ,5.1,8000,13592872,671,WillFerrell TheLadiesMan ,root WillFerrell TheLadiesMan 
Will Ferrell,The Campaign ,6.2,8000,86897182,18000,WillFerrell TheCampaign ,root WillFerrell TheCampaign 
Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby ,6.6,8000,148213377,0,WillFerrell TalladegaNights:TheBalladofRickyBobby ,root WillFerrell TalladegaNights:TheBalladofRickyBobby 
Will Ferrell,Superstar ,5,8000,30628981,2000,WillFerrell Superstar ,root WillFerrell Superstar 
Will Ferrell,Stranger Than Fiction ,7.6,8000,40137776,13000,WillFerrell StrangerThanFiction ,root WillFerrell StrangerThanFiction 
Will Ferrell,Step Brothers ,6.9,8000,100468793,0,WillFerrell StepBrothers ,root WillFerrell StepBrothers 
Will Ferrell,Semi-Pro ,5.8,8000,33472850,0,WillFerrell Semi-Pro ,root WillFerrell Semi-Pro 
Will Ferrell,Old School ,7.2,8000,74608545,0,WillFerrell OldSchool ,root WillFerrell OldSchool 
Will Ferrell,Land of the Lost ,5.4,8000,49392095,0,WillFerrell LandoftheLost ,root WillFerrell LandoftheLost 
Will Ferrell,Jay and Silent Bob Strike Back ,6.9,8000,30059386,0,WillFerrell JayandSilentBobStrikeBack ,root WillFerrell JayandSilentBobStrikeBack 
Will Ferrell,Get Hard ,6,8000,90353764,14000,WillFerrell GetHard ,root WillFerrell GetHard 
Will Ferrell,Everything Must Go ,6.4,8000,2711210,0,WillFerrell EverythingMustGo ,root WillFerrell EverythingMustGo 
Will Ferrell,Drowning Mona ,5.6,8000,15427192,492,WillFerrell DrowningMona ,root WillFerrell DrowningMona 
Will Ferrell,Daddy's Home ,6.1,8000,150315155,13000,WillFerrell Daddy'sHome ,root WillFerrell Daddy'sHome 
Will Ferrell,Curious George ,6.6,8000,58336565,624,WillFerrell CuriousGeorge ,root WillFerrell CuriousGeorge 
Will Ferrell,Casa de mi Padre ,5.5,8000,5895238,9000,WillFerrell CasademiPadre ,root WillFerrell CasademiPadre 
Will Ferrell,Blades of Glory ,6.3,8000,118153533,0,WillFerrell BladesofGlory ,root WillFerrell BladesofGlory 
Will Ferrell,Austin Powers: International Man of Mystery ,7,8000,53868030,0,WillFerrell AustinPowers:InternationalManofMystery ,root WillFerrell AustinPowers:InternationalManofMystery 
Will Ferrell,A Night at the Roxbury ,6.2,8000,30324946,0,WillFerrell ANightattheRoxbury ,root WillFerrell ANightattheRoxbury 
Wilford Brimley,The Thing ,8.2,957,13782838,23000,WilfordBrimley TheThing ,root WilfordBrimley TheThing 
Wilford Brimley,My Fellow Americans ,6.5,957,22294341,758,WilfordBrimley MyFellowAmericans ,root WilfordBrimley MyFellowAmericans 
Wilford Brimley,Brigham City ,7.2,957,798341,100,WilfordBrimley BrighamCity ,root WilfordBrimley BrighamCity 
Wesley Jonathan,Crossover ,2.1,592,7009668,244,WesleyJonathan Crossover ,root WesleyJonathan Crossover 
Wes Studi,The Last of the Mohicans ,7.8,855,72455275,0,WesStudi TheLastoftheMohicans ,root WesStudi TheLastoftheMohicans 
Wendi McLendon-Covey,Reno 911!: Miami ,5.9,655,20339754,441,WendiMcLendon-Covey Reno911!:Miami ,root WendiMcLendon-Covey Reno911!:Miami 
Wei Zhao,Shaolin Soccer ,7.3,478,488872,0,WeiZhao ShaolinSoccer ,root WeiZhao ShaolinSoccer 
Wayne Knight,Jurassic Park ,8.1,967,356784000,19000,WayneKnight JurassicPark ,root WayneKnight JurassicPark 
Warren Christie,Apollo 18 ,5.2,520,17683670,0,WarrenChristie Apollo18 ,root WarrenChristie Apollo18 
Warren Beatty,Bulworth ,6.8,631,26525834,0,WarrenBeatty Bulworth ,root WarrenBeatty Bulworth 
Wanda Sykes,Pootie Tang ,5.2,560,3293258,0,WandaSykes PootieTang ,root WandaSykes PootieTang 
Walter Koenig,Trekkies ,7,643,617172,672,WalterKoenig Trekkies ,root WalterKoenig Trekkies 
Wagner Moura,Trash ,7.2,585,10230,0,WagnerMoura Trash ,root WagnerMoura Trash 
Wagner Moura,Futuro Beach ,6.1,585,20262,278,WagnerMoura FuturoBeach ,root WagnerMoura FuturoBeach 
Wagner Moura,Elite Squad ,8.1,585,8060,11000,WagnerMoura EliteSquad ,root WagnerMoura EliteSquad 
W. Earl Brown,The Sessions ,7.2,422,5997134,11000,W.EarlBrown TheSessions ,root W.EarlBrown TheSessions 
Vivica A. Fox,The Salon ,4.3,890,92362,68,VivicaA.Fox TheSalon ,root VivicaA.Fox TheSalon 
Vivica A. Fox,Set It Off ,6.8,890,36049108,0,VivicaA.Fox SetItOff ,root VivicaA.Fox SetItOff 
Vivica A. Fox,Kill Bill: Vol. 2 ,8,890,66207920,0,VivicaA.Fox KillBill:Vol.2 ,root VivicaA.Fox KillBill:Vol.2 
Vivica A. Fox,Juwanna Mann ,4.5,890,13571817,939,VivicaA.Fox JuwannaMann ,root VivicaA.Fox JuwannaMann 
Vivica A. Fox,Independence Day: Resurgence ,5.5,890,102315545,67000,VivicaA.Fox IndependenceDay:Resurgence ,root VivicaA.Fox IndependenceDay:Resurgence 
Vivica A. Fox,Idle Hands ,6.2,890,4002955,0,VivicaA.Fox IdleHands ,root VivicaA.Fox IdleHands 
Vivica A. Fox,Home Run ,6,890,2859955,0,VivicaA.Fox HomeRun ,root VivicaA.Fox HomeRun 
Vivica A. Fox,Boat Trip ,4.9,890,8586376,1000,VivicaA.Fox BoatTrip ,root VivicaA.Fox BoatTrip 
Virginia Madsen,Sideways ,7.5,912,71502303,0,VirginiaMadsen Sideways ,root VirginiaMadsen Sideways 
Virginia Madsen,Dune ,6.6,913,27400000,11000,VirginiaMadsen Dune ,root VirginiaMadsen Dune 
Violante Placido,The American ,6.3,978,35596227,10000,ViolantePlacido TheAmerican ,root ViolantePlacido TheAmerican 
Vinessa Shaw,Hocus Pocus ,6.7,580,39514713,16000,VinessaShaw HocusPocus ,root VinessaShaw HocusPocus 
Vincent Schiavelli,Tomorrow Never Dies ,6.5,811,125332007,0,VincentSchiavelli TomorrowNeverDies ,root VincentSchiavelli TomorrowNeverDies 
Vincent Pastore,The Jerky Boys ,4.6,584,7557877,138,VincentPastore TheJerkyBoys ,root VincentPastore TheJerkyBoys 
Vincent Pastore,Money Train ,5.6,584,35324232,617,VincentPastore MoneyTrain ,root VincentPastore MoneyTrain 
Vincent Pastore,Corky Romano ,4.6,584,23978402,365,VincentPastore CorkyRomano ,root VincentPastore CorkyRomano 
Vincent Gallo,The Brown Bunny ,5,787,365734,952,VincentGallo TheBrownBunny ,root VincentGallo TheBrownBunny 
Vin Diesel,xXx ,5.8,14000,141204016,10000,VinDiesel xXx ,root VinDiesel xXx 
Vin Diesel,The Pacifier ,5.5,14000,113006880,0,VinDiesel ThePacifier ,root VinDiesel ThePacifier 
Vin Diesel,The Last Witch Hunter ,6,14000,27356090,21000,VinDiesel TheLastWitchHunter ,root VinDiesel TheLastWitchHunter 
Vin Diesel,The Iron Giant ,8,14000,23159305,0,VinDiesel TheIronGiant ,root VinDiesel TheIronGiant 
Vin Diesel,The Chronicles of Riddick ,6.7,14000,57637485,0,VinDiesel TheChroniclesofRiddick ,root VinDiesel TheChroniclesofRiddick 
Vin Diesel,Riddick ,6.4,14000,41997790,39000,VinDiesel Riddick ,root VinDiesel Riddick 
Vin Diesel,Pitch Black ,7.1,14000,39235088,5000,VinDiesel PitchBlack ,root VinDiesel PitchBlack 
Vin Diesel,Knockaround Guys ,6.1,14000,11632420,566,VinDiesel KnockaroundGuys ,root VinDiesel KnockaroundGuys 
Vin Diesel,Boiler Room ,7,14000,16938179,0,VinDiesel BoilerRoom ,root VinDiesel BoilerRoom 
Vin Diesel,Babylon A.D. ,5.6,14000,22531698,0,VinDiesel BabylonA.D. ,root VinDiesel BabylonA.D. 
Vin Diesel,A Man Apart ,6.1,14000,26183197,0,VinDiesel AManApart ,root VinDiesel AManApart 
Viggo Mortensen,The Road ,7.3,10000,56692,32000,ViggoMortensen TheRoad ,root ViggoMortensen TheRoad 
Viggo Mortensen,The Prophecy ,6.6,10000,16115878,0,ViggoMortensen TheProphecy ,root ViggoMortensen TheProphecy 
Viggo Mortensen,Prison ,5.9,10000,354704,314,ViggoMortensen Prison ,root ViggoMortensen Prison 
Viggo Mortensen,Good ,6.2,10000,23091,921,ViggoMortensen Good ,root ViggoMortensen Good 
Viggo Mortensen,G.I. Jane ,5.8,10000,48154732,2000,ViggoMortensen G.I.Jane ,root ViggoMortensen G.I.Jane 
Viggo Mortensen,Eastern Promises ,7.7,10000,17114882,0,ViggoMortensen EasternPromises ,root ViggoMortensen EasternPromises 
Viggo Mortensen,Appaloosa ,6.8,10000,20207003,0,ViggoMortensen Appaloosa ,root ViggoMortensen Appaloosa 
Viggo Mortensen,Albino Alligator ,6.1,10000,326308,225,ViggoMortensen AlbinoAlligator ,root ViggoMortensen AlbinoAlligator 
Viggo Mortensen,A Walk on the Moon ,6.6,10000,4741987,860,ViggoMortensen AWalkontheMoon ,root ViggoMortensen AWalkontheMoon 
Viggo Mortensen,A History of Violence ,7.5,10000,31493782,0,ViggoMortensen AHistoryofViolence ,root ViggoMortensen AHistoryofViolence 
Vidya Balan,Paa ,7.2,464,199228,504,VidyaBalan Paa ,root VidyaBalan Paa 
Victor Wong,The Golden Child ,5.9,400,79817937,0,VictorWong TheGoldenChild ,root VictorWong TheGoldenChild 
Victor Wong,Shanghai Surprise ,3,400,2315683,154,VictorWong ShanghaiSurprise ,root VictorWong ShanghaiSurprise 
Victor Wong,Big Trouble in Little China ,7.3,400,11100000,19000,VictorWong BigTroubleinLittleChina ,root VictorWong BigTroubleinLittleChina 
Victor Wong,3 Ninjas Kick Back ,4.3,400,11784000,444,VictorWong 3NinjasKickBack ,root VictorWong 3NinjasKickBack 
Victor Rasuk,Raising Victor Vargas ,7.2,302,2073984,219,VictorRasuk RaisingVictorVargas ,root VictorRasuk RaisingVictorVargas 
Vernon Wells,Mad Max 2: The Road Warrior ,7.6,745,9003011,0,VernonWells MadMax2:TheRoadWarrior ,root VernonWells MadMax2:TheRoadWarrior 
Vernon Dobtcheff,Before Sunset ,8,50,5792822,13000,VernonDobtcheff BeforeSunset ,root VernonDobtcheff BeforeSunset 
Verne Troyer,Austin Powers in Goldmember ,6.2,645,213079163,0,VerneTroyer AustinPowersinGoldmember ,root VerneTroyer AustinPowersinGoldmember 
Vera Ngassa,Sisters in Law ,7.5,2,32631,50,VeraNgassa SistersinLaw ,root VeraNgassa SistersinLaw 
Vanessa Williams,The Adventures of Elmo in Grouchland ,5.8,1000,11634458,339,VanessaWilliams TheAdventuresofElmoinGrouchland ,root VanessaWilliams TheAdventuresofElmoinGrouchland 
Vanessa Williams,Soul Food ,6.9,1000,43490057,508,VanessaWilliams SoulFood ,root VanessaWilliams SoulFood 
Vanessa Williams,Johnson Family Vacation ,4.3,1000,31179516,243,VanessaWilliams JohnsonFamilyVacation ,root VanessaWilliams JohnsonFamilyVacation 
Vanessa Williams,Harley Davidson and the Marlboro Man ,6,1000,7434726,0,VanessaWilliams HarleyDavidsonandtheMarlboroMan ,root VanessaWilliams HarleyDavidsonandtheMarlboroMan 
Vanessa Williams,Eraser ,6.1,1000,101228120,0,VanessaWilliams Eraser ,root VanessaWilliams Eraser 
Vanessa Redgrave,The White Countess ,6.7,898,1666262,356,VanessaRedgrave TheWhiteCountess ,root VanessaRedgrave TheWhiteCountess 
Vanessa Redgrave,Letters to Juliet ,6.5,898,53021560,13000,VanessaRedgrave LetterstoJuliet ,root VanessaRedgrave LetterstoJuliet 
Vanessa Redgrave,Déjà Vu ,7,898,821997,91,VanessaRedgrave DéjàVu ,root VanessaRedgrave DéjàVu 
Vanessa Redgrave,Anonymous ,6.9,898,4463292,15000,VanessaRedgrave Anonymous ,root VanessaRedgrave Anonymous 
Vanessa Lengies,We Are Your Friends ,6.1,804,3590010,0,VanessaLengies WeAreYourFriends ,root VanessaLengies WeAreYourFriends 
Vanessa Ferlito,Madea Goes to Jail ,4.1,923,90485233,804,VanessaFerlito MadeaGoestoJail ,root VanessaFerlito MadeaGoestoJail 
Usher Raymond,Justin Bieber: Never Say Never ,1.6,569,73000942,62000,UsherRaymond JustinBieber:NeverSayNever ,root UsherRaymond JustinBieber:NeverSayNever 
Ursula Andress,Dr. No ,7.3,650,16067035,5000,UrsulaAndress Dr.No ,root UrsulaAndress Dr.No 
Ulrich Tukur,The White Ribbon ,7.8,63,2222647,0,UlrichTukur TheWhiteRibbon ,root UlrichTukur TheWhiteRibbon 
Ulrich Thomsen,The Celebration ,8.1,280,1647780,5000,UlrichThomsen TheCelebration ,root UlrichThomsen TheCelebration 
Udo Kier,Soul Kitchen ,7.3,595,274385,0,UdoKier SoulKitchen ,root UdoKier SoulKitchen 
Tzi Ma,Rush Hour 3 ,6.2,268,140080850,0,TziMa RushHour3 ,root TziMa RushHour3 
Tyler Labine,Antitrust ,6.1,779,10965209,0,TylerLabine Antitrust ,root TylerLabine Antitrust 
Tyler James Williams,Unaccompanied Minors ,5.1,931,16647384,498,TylerJamesWilliams UnaccompaniedMinors ,root TylerJamesWilliams UnaccompaniedMinors 
Tyler James Williams,Peeples ,5.3,931,9123834,0,TylerJamesWilliams Peeples ,root TylerJamesWilliams Peeples 
Ty Burrell,The Skeleton Twins ,6.8,3000,5283379,0,TyBurrell TheSkeletonTwins ,root TyBurrell TheSkeletonTwins 
Ty Burrell,The Incredible Hulk ,6.8,3000,134518390,0,TyBurrell TheIncredibleHulk ,root TyBurrell TheIncredibleHulk 
Ty Burrell,Muppets Most Wanted ,6.4,3000,51178893,10000,TyBurrell MuppetsMostWanted ,root TyBurrell MuppetsMostWanted 
Ty Burrell,Mr. Peabody & Sherman ,6.9,3000,111505642,11000,TyBurrell Mr.Peabody&Sherman ,root TyBurrell Mr.Peabody&Sherman 
Ty Burrell,Dawn of the Dead ,7.4,6000,117771270,14000,TyBurrell DawnoftheDead ,root TyBurrell DawnoftheDead 
Tuesday Knight,A Nightmare on Elm Street 4: The Dream Master ,5.7,130,49369900,0,TuesdayKnight ANightmareonElmStreet4:TheDreamMaster ,root TuesdayKnight ANightmareonElmStreet4:TheDreamMaster 
Tshewang Dendup,Travelers and Magicians ,7.5,0,505295,353,TshewangDendup TravelersandMagicians ,root TshewangDendup TravelersandMagicians 
Trish Basinger,The Looking Glass ,6.6,644,1711,175,TrishBasinger TheLookingGlass ,root TrishBasinger TheLookingGlass 
Trey Parker,Orgazmo ,6.2,406,582024,0,TreyParker Orgazmo ,root TreyParker Orgazmo 
Trey Loney,Escape from Tomorrow ,5.2,977,169719,0,TreyLoney EscapefromTomorrow ,root TreyLoney EscapefromTomorrow 
Trevor Morgan,Barney's Great Adventure ,2.8,595,11144518,436,TrevorMorgan Barney'sGreatAdventure ,root TrevorMorgan Barney'sGreatAdventure 
Treat Williams,What Happens in Vegas ,6.1,642,80276912,0,TreatWilliams WhatHappensinVegas ,root TreatWilliams WhatHappensinVegas 
Tori Spelling,Kiss the Bride ,5.7,396,31937,60,ToriSpelling KisstheBride ,root ToriSpelling KisstheBride 
Topol,Fiddler on the Roof ,8,402,50000000,0,Topol FiddlerontheRoof ,root Topol FiddlerontheRoof 
Topher Grace,Win a Date with Tad Hamilton! ,5.6,2000,16964743,876,TopherGrace WinaDatewithTadHamilton! ,root TopherGrace WinaDatewithTadHamilton! 
Topher Grace,Take Me Home Tonight ,6.3,2000,6923891,0,TopherGrace TakeMeHomeTonight ,root TopherGrace TakeMeHomeTonight 
Topher Grace,Predators ,6.4,2000,52000688,17000,TopherGrace Predators ,root TopherGrace Predators 
Tony Nappo,Land of the Dead ,6.2,654,20433940,0,TonyNappo LandoftheDead ,root TonyNappo LandoftheDead 
Tony Goldwyn,The Last House on the Left ,6.6,1912,65443270,0,TonyGoldwyn TheLastHouseontheLeft ,root TonyGoldwyn TheLastHouseontheLeft 
Tony Goldwyn,Jason Lives: Friday the 13th Part VI ,5.9,956,19472057,0,TonyGoldwyn JasonLives:Fridaythe13thPartVI ,root TonyGoldwyn JasonLives:Fridaythe13thPartVI 
Tony Doupe,Gory Gory Hallelujah ,4.7,361,11798,39,TonyDoupe GoryGoryHallelujah ,root TonyDoupe GoryGoryHallelujah 
Tony Curran,The Good German ,6.1,845,1304837,559,TonyCurran TheGoodGerman ,root TonyCurran TheGoodGerman 
Tony Curran,The 13th Warrior ,6.6,845,32694788,0,TonyCurran The13thWarrior ,root TonyCurran The13thWarrior 
Tony Curran,Ondine ,6.8,845,548934,0,TonyCurran Ondine ,root TonyCurran Ondine 
Tony Cox,The Warrior's Way ,6.3,624,5664251,0,TonyCox TheWarrior'sWay ,root TonyCox TheWarrior'sWay 
Tony Chiu Wai Leung,The Grandmaster ,6.5,643,6594136,13000,TonyChiuWaiLeung TheGrandmaster ,root TonyChiuWaiLeung TheGrandmaster 
